contdir;contesq;veldir;velesq;disdir;diseq;tmp
35;16;7.16;3.27;0.72;0.33;60140
33;15;6.75;3.07;0.68;0.31;60249
26;25;5.32;5.11;0.53;0.51;60358
26;25;5.32;5.11;0.53;0.51;60467
25;25;5.11;5.11;0.51;0.51;60578
26;26;5.32;5.32;0.53;0.53;60687
25;25;5.11;5.11;0.51;0.51;60796
25;25;5.11;5.11;0.51;0.51;60905
22;29;4.5;5.93;0.45;0.59;61014
15;37;3.07;7.57;0.31;0.76;61123
24;27;4.91;5.52;0.49;0.55;61232
26;25;5.32;5.11;0.53;0.51;61343
25;25;5.11;5.11;0.51;0.51;61452
25;26;5.11;5.32;0.51;0.53;61564
19;32;3.89;6.55;0.39;0.65;61673
15;35;3.07;7.16;0.31;0.72;61782
16;33;3.27;6.75;0.33;0.68;61891
26;26;5.32;5.32;0.53;0.53;62000
37;17;7.57;3.48;0.76;0.35;62109
33;17;6.75;3.48;0.68;0.35;62218
25;27;5.11;5.52;0.51;0.55;62327
23;28;4.71;5.73;0.47;0.57;62436
23;29;4.71;5.93;0.47;0.59;62545
26;26;5.32;5.32;0.53;0.53;62658
24;25;4.91;5.11;0.49;0.51;62767
25;25;5.11;5.11;0.51;0.51;62876
25;25;5.11;5.11;0.51;0.51;62985
25;26;5.11;5.32;0.51;0.53;63099
24;25;4.91;5.11;0.49;0.51;63208
25;25;5.11;5.11;0.51;0.51;63317
24;25;4.91;5.11;0.49;0.51;63426
25;25;5.11;5.11;0.51;0.51;63535
25;26;5.11;5.32;0.51;0.53;63647
25;25;5.11;5.11;0.51;0.51;63756
24;25;4.91;5.11;0.49;0.51;63865
25;25;5.11;5.11;0.51;0.51;63974
25;25;5.11;5.11;0.51;0.51;64083
25;25;5.11;5.11;0.51;0.51;64192
25;25;5.11;5.11;0.51;0.51;64301
25;26;5.11;5.32;0.51;0.53;64410
25;25;5.11;5.11;0.51;0.51;64519
24;25;4.91;5.11;0.49;0.51;64628
26;26;5.32;5.32;0.53;0.53;64741
24;25;4.91;5.11;0.49;0.51;64850
25;25;5.11;5.11;0.51;0.51;64959
25;25;5.11;5.11;0.51;0.51;65068
25;25;5.11;5.11;0.51;0.51;65177
24;25;4.91;5.11;0.49;0.51;65286
24;25;4.91;5.11;0.49;0.51;65395
29;23;5.93;4.71;0.59;0.47;65504
29;23;5.93;4.71;0.59;0.47;65613
25;25;5.11;5.11;0.51;0.51;65725
25;25;5.11;5.11;0.51;0.51;65834
29;22;5.93;4.5;0.59;0.45;65943
37;15;7.57;3.07;0.76;0.31;66052
