timestamp,anchor_id,range,sigma
4.5,3,12.1171,0.03
4.52,0,5.1901,0.03
4.52,1,6.9731,0.03
4.52,2,12.9958,0.03
4.52,3,12.1366,0.03
4.54,0,5.1983,0.03
4.54,1,6.9377,0.03
4.54,2,12.9492,0.03
4.54,3,12.1627,0.03
4.56,0,5.2594,0.03
4.56,1,6.9454,0.03
4.56,2,12.9351,0.03
4.56,3,12.1272,0.03
4.58,0,5.2691,0.03
4.58,1,6.9285,0.03
4.58,2,12.9282,0.03
4.58,3,12.1545,0.03
4.6,0,5.2698,0.03
4.6,1,6.9094,0.03
4.6,2,12.9504,0.03
4.6,3,12.162,0.03
4.62,0,5.2945,0.03
4.62,1,6.8879,0.03
4.62,2,12.9055,0.03
4.62,3,12.1821,0.03
4.64,0,5.3096,0.03
4.64,1,6.8476,0.03
4.64,2,12.9108,0.03
4.64,3,12.2002,0.03
4.66,0,5.2949,0.03
