timestamp,anchor_id,range_front,sigma_front,range_rear,sigma_rear
6.3,3,1.182151,0.02,0.964965,0.02
6.3,4,6.884672,0.02,7.000039,0.02
6.3,5,2.785941,0.02,3.30448,0.02
6.3,6,3.878887,0.02,4.366071,0.02
6.3,7,7.375842,0.02,7.731128,0.02
6.4,0,3.642752,0.02,3.063011,0.02
6.4,1,4.570087,0.02,4.196112,0.02
6.4,2,7.704187,0.02,7.599002,0.02
6.4,3,1.213663,0.02,0.984759,0.02
6.4,4,6.889639,0.02,7.031857,0.02
6.4,5,2.75821,0.02,3.312329,0.02
6.4,6,3.835165,0.02,4.376784,0.02
6.4,7,7.372473,0.02,7.686092,0.02
6.5,0,3.641753,0.02,3.021643,0.02
6.5,1,4.525953,0.02,4.141603,0.02
6.5,2,7.737686,0.02,7.568413,0.02
6.5,3,1.222042,0.02,0.95162,0.02
6.5,4,6.91712,0.02,7.048777,0.02
6.5,5,2.774179,0.02,3.318286,0.02
6.5,6,3.843127,0.02,4.385046,0.02
6.5,7,7.341063,0.02,7.678433,0.02
6.6,0,3.640779,0.02,2.992469,0.02
6.6,1,4.531974,0.02,4.135713,0.02
6.6,2,7.666802,0.02,7.610431,0.02
6.6,3,1.196061,0.02,0.987214,0.02
6.6,4,6.873767,0.02,7.033345,0.02
6.6,5,2.750245,0.02,3.33391,0.02
6.6,6,3.851917,0.02,4.360226,0.02
6.6,7,7.320903,0.02,7.689781,0.02
6.7,0,3.643143,0.02,3.009218,0.02
6.7,1,4.534492,0.02,4.152681,0.02
6.7,2,7.700941,0.02,7.612632,0.02
6.7,3,1.197848,0.02,0.962819,0.02
6.7,4,6.87728,0.02,7.045355,0.02
6.7,5,2.745364,0.02,3.3032,0.02
6.7,6,3.821398,0.02,4.415206,0.02
6.7,7,7.321851,0.02,7.731079,0.02
6.8,0,3.651645,0.02,2.988547,0.02
6.8,1,4.507804,0.02,4.153127,0.02
6.8,2,7.74528,0.02,7.604849,0.02
6.8,3,1.230142,0.02,0.960078,0.02
6.8,4,6.933858,0.02,7.008933,0.02
6.8,5,2.772811,0.02,3.282303,0.02
6.8,6,3.844513,0.02,4.353768,0.02
6.8,7,7.313811,0.02,7.716553,0.02
6.9,0,3.675377,0.02,3.002491,0.02
6.9,1,4.532499,0.02,4.146977,0.02
